Person,Text,Date
Mentor commented at,"8:53PM January 8 
Hi Mentee,
Is that... ✨ growth ✨ I hear? Isn't that incredible that just a year ago, you were planning what courses to take, running around and finding your buildings/classes, getting to know your friends and profs, and adjusting to a new city, and now, you can confidently say things like that? I probably sound like a broken record, but you make your mentor proud and you should be proud of your hard work too! 🥹
By 2nd year, I'd say I had found my bearings also. You spend your 1st year learning about yourself and adjusting, so that in the 2nd year, you can know what to expect and apply what you've learned as a student. You also build the skills to feel more confident in taking on additional responsibilities like part-time jobs and co-ops, without them interfering with your academic success. I think 3rd year is when I took things more seriously, because depending on the school you're interested in, they might take your upper-year grades into consideration for Masters (Graduate) programs. Dependent on the school and program, of course. 
I guess while I'm on that topic, is it too early to think about what Graduate program and school you were interested in getting into? Course-based, thesis-optional, thesis-required? There's so many options! I pulled this from UBC's Biochem & Molecular Bio Graduate Program admission requirements just as an example, but I'd recommend following a generic blueprint to be as eligible to as many of your goal programs as possible, keeping your options open across BC and Canada. I'd imagine you'd not only want to be in a program, but also in a lab, which according to this Grad program, 20-25 students get a lab placement out of 100 applications. If you were aiming for the researcher trajectory, it seems you're right on track!  
Masters Program
You should have advanced laboratory experience in a biochemistry research environment, e.g., summer student research project, co-op work experience, a directed studies laboratory research course, or employment as a laboratory technician in a research or relevant industrial environment.
At the minimum, you should hold or be in the process of completing a four year science BSc or BScH.
You should be knowledgeable in organic and physical chemistry beyond the introductory level.
You should have taken an introductory Biochemistry course, an introductory Biochemistry laboratory course, and at least two advanced Biochemistry courses.
Courses in genetics, physics, microbiology, or cell biology are strongly recommended.
North American degree holders must have obtained an overall transcript average of B+ or have a first class standing in 12 credits of combined 3rd and 4th year relevant coursework.
Non-North American degree holders must review the minimum academic entrance requirements as set by the Faculty of Graduate and Postdoctoral Studies. 
I was poking around UBC's other graduate programs and thought that Medical Genetics sounded very interesting and possibly aligned with your interests and degree. Give it a browse if you're curious! I could totally see a genetic counsellor Mentee, an epidemiologist Mentee, and let's not forget, researcher Mentee. 😎 
Congrats on your final grades! You worked hard for those and I hope you celebrated a bit before you hit the books again! And you're going to get a Summer position, I can already feel it. 2024 is going to be lucky for the both of us 💕 ! With that said, I wonder if it'd be worth while to also make a CV? I think resumes and CV's are different? To be honest, I've always used a resume when asked for a CV, but I do recall being specifically asked for a CV when I was applying as a lab volunteer back in undergrad. But it's been so long though, maybe I'm just getting old and forgetting haha 👵 !
Let's stay in this section for now, so you can refer to the resources as you apply to your Summer jobs. Let me know how it goes!
I've got to get back to studying too lol! 📚 Talk again soon!
Your mentor,
Mentor",8:53PM January 8
Mentee commented at,"10:25AM January 6 
Hello! Happy New Year!
I think the first floor of the library is our go-to study spot because we're able to talk but also get work done, and it's kinda central. I spent most of last year studying on the library's second floor, and I haven't studied there at all this year. 🤷‍♀️
My finals went well, and I'm happy with my class grades, which is good. The interesting thing I've found with the second year is that we're all just better at school. Classes are more difficult, but we know how to study, we're more relaxed for exams because we know how they work, and we better understand what we need to do to succeed. 
Okay, I feel the same way about if January 2023 me talked to December 2023, so much happened last year (most of it good) but ultimately it was a good year for personal growth!
How did the December (mid-year) performance review go? Did you get a raise?
MCAT studying sounds exciting and stressful! How's it going?
I appreciate that we're in the getting hired section because I'm about to start applying for a summer job! I'm going for the same approach as last year, getting a job in a lab at UBC. So I've updated my resume and getting my references in order. Wish me luck!
I've got to get back to studying 😅
 
Your mentee,
Mentee",10:25AM January 6
Mentor commented at,"9:03PM November 29 
Hi Mentee!
WELCOME BACK TO MENTORING TO THE BOTH OF US! Goodness, 2 months pass just like that and now look at all these upgrades ReMBC has for us... I'm not even sure what half of these buttons mean, so let's have fun trying them out as we get back into the swing of things. Like are those... Emojis?!  (I think we can stick with using our Apple ones for the variety though so shhh 🤐 ). My heart felt so warm reading all your life updates, because I always feel like we have this telepathic understanding that we can go off and do life and come back and update each other! So let's catch up, shall we?
Ooooooo Notion! As a student I used a coil-bound agenda and handwrote to keep track of things (still do), but now, being the corporate girlie I am (but am I really if I work in publicly-funded health care? LOL), I use OneNote. How are you finding it? And I was always amazed at how people used Excel as a means of tracking things... But maybe it's me? Hi? Were my ugly spreadsheets the problem? It's me? HAHA. It seems like your program arsenal is getting more stacked every year, look at you getting Premium Grammarly. Only the best for my mentee 😏 . 
You know what they say, a healthy body is a healthy mind. Especially now that it's getting darker and colder, it's good to hear you're sticking to a healthy routine that will take care of you now and later. And it's even opening up your social circle beyond classmates! There's this fun meme about your closest co-workers being nearly double your age with kids, and it's so true. It's like that in my workplace too, so I'm glad it's similar to you making friends with your grandma/grandpa gymrats! 
I think one of my first university tips to you was to find a favorite, reliable study spot and just like a full-circle, you've found one! And sounds like your friends have found yours too! What makes that place your go-to study spot? For me, my place was in the basement of the library (quiet floor), where the desks were large, used comfortable computer chairs, well lit, and each desk had a 2-4 socket outlet. Bonus points for being only 1 floor away from the coffee shop! 
So, I did end up going crabbing a few times! I imagine it'd be similar to fishing, where the appeal is being out in the sun and open waters, waiting for a catch. I ended up using the waiting time to read a book, but the interest dwindled down as the weather got colder. But you know who really took a liking to crabbing? MY DAD. Haha, I turned this man into a fisherman, and we even got traps of our own! And truthfully, I don't eat crab really. I just came so my dad could catch more (he's more of the crab fan) 🦀 .
- GOOD LUCK ON YOUR FINALS. You're prepared, you're confident, you've got this. The only mountain is you, and you've moved them last year and you'll move them again.
- Rock climbing seems so fun! I remember doing that waaay back in high school and a few times after that in college, but it's just another cool thing to mix your physical activity up a bit!
- I've never seen a moose in person but I've seen videos and they are actually massive. That is intense that you've seen them while going on your Twilight runs through the forest (I'm sorry I had to #TeamEdward LOL). Running, gymming, rock climbing, what will my mentee get up to next? Find out in our next mentor message!
- -6 °C to 0°C being warm is crazy sounding as an Islander. But you know? I'm still so proud of you. You moved out of your town, out of your comfort zone to be in a completely different city and environment and the weather is still the least of your challenges! Just like you've been along for the ride in my job hunt, I feel the same way in seeing your growth from high schooler to now university student. Cheers to seeing our self-growth, and double cheers to seeing more of it!
Updates from me to you!:
- I'm not sure if you've seen those memes floating around like ""If January 2023 me met December 2023 me, they'd be flabbergasted"", but I feel like that sums up my year. 😂  I went into 2023 with certain expectations, but am exiting the year with a changed perspective - Instead of expecting this is how things will go, I'm going to accept how things do go. Feels less stressful that way! Looking forward to what 2024 brings!
- Something you may come across in the future are performance reviews, which tie into pay adjustments (raises!). You work on goals you've set throughout the fiscal year, so it may look something like setting your goals at the beginning of the fiscal (April), having a mid-year check-in (December), and a final review the following year (March). I have my mid-year one tomorrow, so wish me luck! Manifesting that raise 💰 
- Making use of the benefits at work, just like you're taking advantage of what's available to you as a student! I've been getting massage therapy every month which sounds heavenly and is. I also joined my work's ethics journal club!
- Something that I'm working on and is quite significant has been starting my MCAT studying! I'm projecting to take my exam next Summer, but it's been admittedly more challenging having been out of the student mindset for a while. If you know any materials you think might help, let me know! I think the 'Chemistries' might be my achilles heel for this behemoth of an exam!
- And at last, being in the adult world... It's been a gratifying experience working steadily towards my goals and filling my life with meaningful experiences. Trying something new, making new friends, saying yes to more things, you feel like there's so many opportunities everyday, and there are, so long as you don't close your eyes and your mind. I hope you keep the stars in your eyes once you graduate, because I know there will be so many doors open for you!
Good luck on your exams, Merry early Christmas, and as always, I've got your back.
Your mentor,
Mentor",9:03PM November 29
Mentee commented at,"9:21AM November 24 
Hello!
Okay, so it's the end of November.... 
I'm back; sorry I was gone for 2 MONTHS. Time got away from me 😅
The school has been keeping me insanely busy.
My priMentor software for everyday school includes Grammarly (Premium now), Notion, and Microsoft programs. Excel is a game changer for keeping track of everything.
I have 8:30 am classes five days a week. However, I've been getting up at 5:30 am to go to the gym every day, so by the time 8:30 am rolls around, I've been awake for 3 hours already. Morning classes are still a drag, though. I'm just avoiding the 8:00 am lab times. 😬
I'm on campus studying in the same spot all the time. People know where to find me, and it's very random to have people walk up to me and say, ""I thought I'd find you here. Could you help me with this?"" I guess that's just small university stuff.
It's great to hear that work's going well. I feel like I've been a long for the ride regarding your job search and everything, so it's good that you're settled in now. 😊
Did you take up crabbing? Like fishing for crabs? That's so cool! Do you eat all the crab?
As far as my life updates: 
- I'm still an academic wepon. Finals start in two weeks, and I'm stressing but confident
- My roommate and I went rock climbing as a residence activity on Monday, and we had a lot of fun, so we're thinking of starting that as a hobby in the new year. The indoor rock climbing place in Prince George has a good student discount.
- I've seen so many moose this year. I've been running through the woods every weekend and seen them there and walking through campus. As I was walking to the gym on Wednesday, I passed by two. Let me say they're massive and scary. They will attack you if they feel like it.
- I'm friends with many elderly seniors at the gym now. The thing with going that early in the morning is that's when the old people go. So, I've become friends with them, which includes going to Thanksgiving dinner with one of their families.
- For the end of November, Prince George is warm with little snow. There was 3 to 4 feet this time last year, but it's basically melted today. The temperature hovers between -6 °C and 0°C, which is warm for this time of year.'
Things have been very academically focused this semester, which is good, but my social life has also grown, which is nice.
How have the past couple of months been for you?
Your mentee,
Mentee",9:21AM November 24
Mentor commented at,"10:59PM September 17 
Hi Mentee,
$15 for a software you can apply to not just all your classes, but resume building, scholarship essay writing, etc! That is so neat and kind! It's those little things like punctuation that can make your work look that much cleaner and put together. 😄 I'd also like to think people can review your work more comprehensively VS getting distracted by the typos and run-ons. While we didn't get Grammarly as our handout, we did get other software a bit more specific to our program like Tableau! On the topic of software, aside from Tableau, more program-specific software we frequented (not free and on school computers lol) was Microsoft Office/Project, SAS, OpenEpi/Epi Info, and the likes. What softwares have you been finding you've been using more or are new to you? A thought would be to brush up on them from time to time, as you never know when they may be applicable for future research positions, co-op's/job placements, and more! Spoiler: Know Excel. Lol. Excel is everywhere.
Now that you're in uni, how are you finding those 8:30am classes?! Are you choosing those intentionally?! 😂  I thought a strong appeal of being in post-secondary was being able to pick out your schedule... But to be honest, I was on campus by 8am everyday too lol. Even if I didn't have classes until later, I'd use those mornings to get some readings/reviews/homework in. Super quiet in the library especially, which is where I'd be 99% of the time. Are you just staying on campus until 3:30/5:30, or what do you do to kill the time in between? 
Updates updates! Let's see... So I'm back to work! Project work has been ramping up which has its impacts, like say... You want to build something and you're assigned a builder who will help you. But that builder is also assigned to other projects at the same time, so you can only do so much as reesourcing is limited. Wanted to mention that as we often think resources to be things like time, money, materials, but people are resources too! Something also coming up for me in the next few months is goal planning and vacation planning. There are personal goals, but there are also performance goals in the workplace. These are what they sound like, being what you plan to accomplish in the next year. I think one of my goals I'll be aiming for is to create some new Standard Operating Procedures (SOPs) and documentation for the team as I enjoy doing that! Vacation wise, I've got to think of my plans for 2024. I know what you might be thinking - Already? How would you know what you need off this early? Lol. I kinda don't. But in the healthcare space, planning vacations a year in advance makes sense, doesn't it? But don't worry, these are just to plop some time off and secure them (especially for in-demand times like Summer and Christmas). We can always move them around as, naturally, we don't know what tomorrow brings, let alone what may happen a year in advance. Just some possible things you might experience in your future workspace! Life-wise, I had to make the tough call and skip ballet this year. Crabbing took its spot as a hobby while the weather is still nice 🦀 ! There's always next year though, so I'm looking forward to putting 🩰 on my 2024 vision board and all those fun things I wanna manifest. Any updates you'd like to share? School, life, whatever floats our boat! 🛥️ Hope you're doing well, my mentee! Your mentor's got your back. :) 
Your mentor,
Mentor",10:59PM September 17
Mentee commented at,"3:15PM September 8 
Hello, 
Welcome back!
I'm back at university, and things are going well so far. My classes seem more reasonable this semester compared to last semester. My school got us a Grammarly premium for $15 for the year. It's great my punctuation is much better! 😁 Other than all that, I'm just waiting for stuff to pick up so I'll have something to do between classes (I have an 8:30am-9:20 am class and no other class until 3:30 pm Monday and Wednesday or 5:30 pm on Friday)
Anyway, update me on what you've been up to! 
Your mentee,
Mentee",3:15PM September 8
Mentor commented at,"11:31PM August 21 
Hi Mentee,
I'm back! ... Albeit a week later than I said I'd be. LOL. 
My apologies for underestimating how bad I'd be hit with jetlag; it's been... 7(?) years since I've travelled across the ocean and significantly different timezones? I think I'm just getting over it now, but that first week back had me d e l u l u from adjusting to my whack sleep pattern lol. But yes! I've returned from my family vacation 🥹🗾🚄🍵🍱🍣🍜!
I'd be happy to share some story times or tips, but firstly, I'd love to hear how you've been! Congrats on the honey by the way LOL, local, fresh honey is the best! Have you tried just eating it straight from the honeycomb? It's soooo sweet but soooo good! 🐝🍯
Looking forward to getting us back on track with mentorship now that I'm back!
Your mentor,
Mentor",11:31PM August 21
Mentee commented at,"9:09AM July 27 
Hello,
Congratulations on finally going for that well-deserved vacation! 
With the sayonara and the emojis including sushi, I'm guessing you've gone to Japan?
Also, just a random bonus of working in a lab where half the people study bees: Honey! I got a big jar of honey for free, which tastes so good. 
I'm guessing you'll see this when you return in August, so I hope you've had a fantastic trip!
your mentee,
Mentee",9:09AM July 27
Mentor commented at,"9:13PM July 16 
Hi Mentee,
I wanted to stop by here before I get swept up in all my vacation planning, panicking, and packing on top of work this week, but... GUESS WHO'S FINALLY GOING ON VACAY (and literally leaving this Friday lol)?! I wanted to share the story of how I'm going to _____, and how everything happens in its own way. That sounds a bit spiritual, doesn't it? Divine timing, manifestations, and the like. I'm not sure if you believe in those? No judgment either or - While I think it's important to acknowledge outcomes, I've been leaning towards stoic practices in the past year. Fortify yourself in what is in your control, so you can be resilient across what isn't! Anyway, I digress. Story time! ✨
Back when I started university (I only graduated 2 years ago but why does it feel so long?!), I told myself and everyone around me that I'd be going to this country once I graduated. Love the food, interested in the history, fascinated by the culture, and I've been told it offers something different every visit. Fast forward through the semesters and even while convocating as a ""pandemic graduate"", I still told everyone that I'd be going to _____ with my mask on. Well, COVID had different plans for me, and as borders weren't opening up in the foreseeable future, I decided to start my future early by applying for jobs. Now in my career where vacation days (and vacation pay!) are a thing, I unknowingly booked time off at the same time my brother and sister-in-law were planning to go travelling. They've been waiting 2 years to go, and throughout those 2 years have been asking me if I'd meet them there. I'm not sure if I'd shared this yet, but initially, I had planned to go to Chicago this year - Attend a music festival, see the museums, eat their pizza, so I said not this time. But life brought all of us together in the form of a wedding (not mine ofc lol)! So sayonara to Chicago and hello to... Have you guessed where I'm going yet?🎋🌸🍜🍣🍱🍡🍵🥢🚄⛩️
I guess where I'm getting at is: Your life starts everyday. Although you can plan and prepare as best you can, there is only so much in your hands and the rest is out of them. Maybe something doesn't go exactly as expected, but maybe it will work out for the best, we really don't know. It's all about perspective and strengthening your mind, body, heart, and soul!
I don't mean to pressure you by calling you my Nobel Prize winner; As cheesy as it sounds, you'll always be a winner in my books. I just know you're going to do your best, and that's already the best thing you can do for the world. :) I refrained from opening another conversation because I thought I might be lost when I come back lol. Let's start a new one together when I return? 
Fri., 21-Jul-2023 until Mon., 14-Aug-2023 - Mentor's vacay!
Let's catch up on our Summer when I come back! If you head off somewhere too, just let me know via here too!
Your mentor,
Mentor",9:13PM July 16
Mentor commented at,"12:56PM July 13 
Hi Mentee,
I'm so happy to hear everything about the lab is going well, especially the immaculate ✨vibes✨. It must be exciting learning hands-on and just getting the feel for what wet labs are all about - What a fun and productive way to spend your Summer! Keep those ideas tucked in the back of your mind for next year (or maybe even this upcoming Fall semester), when we look into possibly applying them for student research grants and proposing them to PIs. An added benefit to your research experience is now having built connections with those in your lab, as your colleagues could very well be your future co-workers (happened to me, my friend and I are on the same team at work lol)! ... It's the fact I YouTubed ""bee dissection"" for me... 🐝⚔️
Honestly, you're going to feel imposter syndrome anywhere, everywhere. As a student, as a researcher, in your career, maybe even as a person (hello existential crisis lol). I wish I had some sure fire advice to give you, but to this day, I combat those feelings of, ""Why am I here?"" ""Why was I hired?"" ""I'm not good enough for how long I've been here"". But like you said, you just have to trust the judgment of those who placed you there. They believed in you, so try to find that part of you that believes in yourself. I have gratitude for the day, even the hard ones - Because I know it's all a part of life's story, and you learn from everything and grow through everything. Look at you go! Mentee about to enter her dry lab era 🔬💻. But just like how those grad students are finding a bright undergrad to learn from, you never know where or who or how you'll learn about something that will apply to your studies and life! Stay curious!
That's my future Nobel Prize winner right here, folks! For real, can't wait to see where you go in research, because I know it's not a matter of if, but when you'll make a breakthrough. No matter how big or small, I'm sure it'll be meaningful to humankind. 🏅I'm gonna be that Leonardo DiCaprio pointing meme like, ""HEY, I MENTORED HER."" LOL.
Let's do it! Do you have a topic you want me to unlock next or shall I choose?
Your mentor,
Mentor",12:56PM July 13
