Mentor ID,Mentee ID,Relationship ID
1047514152,1047540970,40364
1047512913,1047540975,40363
1047513624,1047540966,40361
1047514332,1047540960,40359
1047516308,1047540962,40357
1047513638,1047540968,40354
1047502279,1047540963,40352
1047514156,1047540958,40350
1047513625,1047540967,40348
1047541305,1047540972,40346
1047538810,1047540961,40345
1047513321,1047540969,40343
1047514253,1047540964,40342
1047540929,1047540971,40339
1047538811,1047540772,40168
1047498662,1047538890,40144
1047499360,1047538824,40143
1047516843,1047538827,40142
1047516507,1047538825,40141
1047513401,1047538826,40140
1047499271,1047538812,40139
1047514517,1047538816,40138
1047512489,1047538891,40137
1047516309,1047540777,40136
1047512485,1047538823,40135
1047517758,1047538818,40134
1047516311,1047538822,40133
1047500301,1047558304,50998
1047555384,1047558462,50541
1047549501,1047557259,50524
1047548854,1047558131,50510
1047553889,1047557256,49724
1047547131,1047557262,49683
1047547973,1047557258,49682
1047548389,1047557269,49681
1047501110,1047557268,49680
1047547604,1047557267,49679
1047541619,1047557266,49678
1047513624,1047557265,49677
1047550326,1047557264,49676
1047551740,1047557263,49675
1047555383,1047557261,49674
1047546975,1047557260,49673
1047551240,1047557257,49672
1047514332,1047557255,49670
1047550125,1047557254,49668
1047541741,1047557253,49667
1047499067,1047557252,49666
1047555384,1047554460,49363
1047556157,1047556709,48964
1047553889,1047555385,48963
1047551564,1047554183,48646
1047550355,1047554506,48456
1047551030,1047554183,48317
1047550228,1047554227,48250
1047547559,1047554363,48208
1047551636,1047554362,48207
1047550296,1047554185,48197
1047513627,1047554193,48196
1047551449,1047554197,48195
1047549455,1047554325,48194
1047547595,1047554226,48193
1047499097,1047554052,48169
1047541409,1047554038,48168
1047541409,1047554052,48167
1047547514,1047554037,48166
1047547131,1047554181,48121
1047550236,1047554192,48120
1047512485,1047554180,48119
1047547705,1047554189,48118
1047550086,1047554224,48106
1047550061,1047554188,48105
1047547951,1047554186,48104
1047549093,1047554196,48103
1047514517,1047554060,48014
1047498664,1047554076,48013
1047551757,1047554125,48001
1047512911,1047554184,47956
1047549127,1047554187,47955
1047547565,1047554190,47954
1047513637,1047554195,47953
1047512489,1047554048,47942
1047547979,1047554074,47941
1047538810,1047554025,47939
1047550342,1047554102,47928
1047514152,1047554099,47927
1047546936,1047554098,47926
1047551564,1047554097,47925
1047541409,1047554095,47924
1047548854,1047554091,47923
1047550124,1047554090,47922
1047549548,1047554089,47921
1047548847,1047554088,47920
1047549501,1047554087,47919
1047512487,1047554118,47918
1047541384,1047554085,47917
1047514156,1047554104,47916
1047547947,1047554101,47915
1047514903,1047554096,47914
1047550337,1047554333,47913
1047490352,1047554093,47912
1047547585,1047538815,47911
1047549912,1047554086,47910
1047499279,1047554083,47909
1047499512,1047554082,47908
1047541369,1047554084,47907
1047514148,1047554080,47906
1047551593,1047554081,47905
1047548731,1047554034,47904
1047547291,1047554050,47903
1047551193,1047554027,47902
1047550298,1047554071,47901
1047553889,1047554169,47900
1047547931,1047554046,47899
